title,Seasons,Cancelled,genre,Country,Type,Premiere Year,Finale Year
Skylanders Academy,3.0,0.0,Kids,"South Korea, United States, South Korea",TV Show,2016,2018.0
World of Winx,2.0,0.0,Kids,"Italy, United States, Italy",TV Show,2016,2017.0
Luna Petunia,3.0,0.0,Kids,United States,TV Show,2016,2017.0
Trollhunters: Tales of Arcadia,3.0,0.0,,,TV Show,2016,2018.0
Edgar Rice Burroughs' Tarzan and Jane,2.0,0.0,Crime TV,,TV Show,2017,2018.0
We're Lalaloopsy,1.0,1.0,Kids,United States,TV Show,2017,2017.0
Legend Quest,1.0,1.0,Kids,Mexico,TV Show,2017,2017.0
Buddy Thunderstruck,1.0,1.0,Kids,United States,TV Show,2017,2017.0
All Hail King Julien: Exiled,1.0,1.0,Kids,,TV Show,2017,2017.0
True and the Rainbow Kingdom,3.0,0.0,Kids,"United States, Canada, United States",TV Show,2017,2019.0
Lego Elves: Secrets of Elvendale,1.0,1.0,,,TV Show,2017,2017.0
The Magic School Bus Rides Again,2.0,0.0,Kids,United States,TV Show,2017,2018.0
Super Monsters,3.0,0.0,Kids,,TV Show,2017,2019.0
Stretch Armstrong and the Flex Fighters,2.0,0.0,,,TV Show,2017,2018.0
Trolls: The Beat Goes On!,8.0,0.0,Kids,United States,TV Show,2018,2019.0
Llama Llama,2.0,0.0,Kids,United States,TV Show,2018,2019.0
Luna Petunia: Return to Amazia,2.0,0.0,Kids,"Canada, United States, Canada",TV Show,2018,2018.0
The Boss Baby: Back in Business,4.0,0.0,Kids,United States,TV Show,2018,2020.0
Spy Kids: Mission Critical,2.0,0.0,Kids,"United States, Canada, United States",TV Show,2018,2018.0
The Hollow,2.0,0.0,Kids,Canada,TV Show,2018,2020.0
True: Magical Friends,1.0,1.0,Kids,,TV Show,2018,2018.0
True: Wonderful Wishes,1.0,1.0,Kids,,TV Show,2018,2018.0
Harvey Girls Forever!,4.0,0.0,,,TV Show,2018,2020.0
The Epic Tales of Captain Underpants,3.0,0.0,Kids,United States,TV Show,2018,2019.0
Cupcake & Dino: General Services,2.0,0.0,,,TV Show,2018,2019.0
